gene_id,log2FoldChange,pvalue,padj
YPL113C,-1.465051,1.584866e-05,0.0001248462
YPL120W,-1.037866,2.260112e-07,3.203051e-06
YPL152W,-1.046898,0.0002648128,0.001413108
YPL162C,-1.363298,0.0006471683,0.003015666
YPL165C,-1.523504,0.0004108946,0.002040743
YPL177C,-1.03343,0.0003083027,0.001604438
YPL192C,-6.693338,1.110338e-49,7.51822e-47
YPL215W,-1.121981,0.0008662414,0.003836392
YPL241C,-1.481526,0.0001139512,0.0007035652
YPL250C,-2.243348,1.466772e-06,1.61345e-05
YPL257W,-2.369095,3.520062e-10,1.002395e-08
YPL264C,-1.213121,0.0001162069,0.0007145963
YPL265W,-1.713299,3.131496e-16,2.935898e-14
YPL274W,-1.902363,3.563205e-08,6.41572e-07
YPL283C,-1.004174,0.01033204,0.03006852
YPR003C,-1.61073,4.2816789999999996e-19,5.551607e-17
YPR013C,-1.804537,4.811689e-16,4.442793e-14
YPR028W,-1.423559,4.166915e-07,5.460899e-06
YPR035W,-1.748617,7.678031e-09,1.591494e-07
YPR051W,-1.704184,7.765115e-07,9.351899e-06
YPR066W,-1.600755,1.039361e-09,2.672516e-08
YPR071W,-1.558163,4.627193e-06,4.344856e-05
YPR109W,-1.094119,0.0003074308,0.001601268
YPR131C,-1.543572,1.348587e-06,1.496748e-05
YPR138C,-1.343897,9.357738e-07,1.096655e-05
YPR145W,-1.947114,1.565463e-17,1.730331e-15
YPR147C,-1.268757,9.811921e-05,0.0006201831
YPR155C,-1.071553,0.0001789229,0.001014178
YPR156C,-2.940999,1.859276e-16,1.770379e-14
YPR157W,-1.603309,4.998974e-05,0.000345786
YPR158W-B,-1.562459,0.002297195,0.008722183
YPR159W,-1.151341,0.0006667697,0.003094665
YPR167C,-1.002958,0.001099119,0.004697075
YPR181C,-1.069823,7.034341e-05,0.0004644342
YPR192W,-1.158007,0.005262121,0.01730565
YPR194C,-3.458101,1.42653e-13,8.781086e-12
YPR196W,-1.529023,2.850938e-08,5.233017e-07
YPR198W,-2.571425,2.8416220000000003e-27,6.926739e-25
YPR200C,-1.517869,0.0008095867,0.003624997
