gene_id,log2FoldChange,pvalue,padj
YJL176C,1.52535,2.035594e-18,1.317528e-16
YJL177W,1.580047,9.941322e-06,4.723431e-05
YJL178C,1.139505,1.143289e-09,1.140234e-08
YJL183W,1.511678,1.709397e-15,5.589023e-14
YJL184W,1.676282,3.634584e-10,4.037507e-09
YJL187C,1.794986,2.899442e-12,5.000985e-11
YJL190C,1.489228,0.001288163,0.003703906
YJR002W,1.812028,6.170694e-15,1.820498e-13
YJR005C-A,1.54556,6.402473e-08,4.641244e-07
YJR007W,1.261717,2.612948e-05,0.0001126749
YJR014W,1.377968,8.049556e-13,1.547222e-11
YJR054W,1.564944,1.596827e-13,3.579037e-12
YJR056C,1.674466,1.40795e-09,1.3889e-08
YJR060W,1.025206,6.814744e-06,3.34566e-05
YJR070C,1.731779,0.0001339703,0.0004875351
YJR072C,1.848585,3.324875e-18,2.027854e-16
YJR082C,1.039678,0.0003065859,0.001022974
YJR097W,1.491597,0.001986126,0.005441898
YJR105W,1.188112,0.005149394,0.01246189
YJR107W,1.436617,3.174672e-06,1.668347e-05
YJR112W,1.333717,0.0004123256,0.001343978
YJR123W,1.12489,0.005973025,0.01423249
YJR129C,1.138166,0.00297498,0.007733279
YJR145C,1.322656,0.003317571,0.008478385
YKL009W,2.115003,6.064098e-11,7.96368e-10
YKL014C,1.402436,9.438387e-08,6.644582e-07
YKL021C,1.296422,2.899456e-08,2.264932e-07
YKL028W,1.282991,1.591586e-11,2.392283e-10
YKL042W,1.173244,0.001501887,0.00423587
YKL050C,1.863677,1.264567e-13,2.885304e-12
YKL054C,1.146028,4.923845e-09,4.442667e-08
YKL089W,1.223381,2.251025e-07,1.476552e-06
YKL096W-A,2.090891,0.0001690372,0.0005996661
YKL099C,1.429803,1.394268e-07,9.478929e-07
YKL101W,2.10203,1.560697e-16,6.567388e-15
YKL107W,1.139508,0.01653194,0.03487265
YKL108W,1.050509,0.0007281811,0.002225953
YKL112W,1.110997,0.0002871347,0.0009656921
YKL113C,1.726554,7.677057e-10,7.98288e-09
YKL139W,1.041549,1.521854e-06,8.460226e-06
YKL143W,1.92437,1.197737e-11,1.848478e-10
YKL172W,1.419001,2.006697e-06,1.101079e-05
YKL175W,1.142102,3.261985e-05,0.0001380305
YKL180W,1.596407,7.412212e-09,6.431691e-08
YKL191W,1.222555,0.0005187246,0.001650913
YKL201C,1.222799,8.214573e-10,8.472364e-09
YKL216W,1.473719,9.108702e-09,7.807634e-08
YKR001C,1.320989,7.409053e-17,3.286407e-15
YKR002W,1.463869,1.436027e-18,9.690128000000001e-17
YKR010C,1.033983,8.889776e-07,5.154282e-06
YKR019C,1.031694,7.866501e-07,4.603064e-06
YKR025W,1.171226,0.0002360453,0.0008119497
YKR037C,1.307827,4.478213e-07,2.752452e-06
YKR050W,1.299691,6.004671e-09,5.282612e-08
YKR062W,1.052981,2.281622e-09,2.160049e-08
YKR063C,1.20057,1.109281e-08,9.381558e-08
YKR071C,1.33567,2.659572e-14,7.148163e-13
YKR077W,1.040859,3.737822e-05,0.0001559803
YKR081C,2.140454,1.596519e-12,2.918362e-11
YKR092C,1.522392,5.9534e-11,7.834526e-10
YKR094C,1.35172,7.904072e-05,0.0003034838
YKR095W,1.078893,1.287092e-13,2.915722e-12
YKR099W,1.557699,2.518387e-07,1.628351e-06
YLL006W-A,1.875749,6.853989e-07,4.032918e-06
YLL008W,1.763091,4.573596e-08,3.396993e-07
YLL018C,1.218362,1.200236e-08,1.01238e-07
YLL021W,1.284393,4.435488e-09,4.030702e-08
YLL022C,2.369697,1.201051e-15,4.095842e-14
YLL034C,1.966207,1.477181e-18,9.862907000000001e-17
YLL036C,1.474587,3.5346120000000006e-17,1.698488e-15
YLL045C,1.384318,0.000552935,0.001747517
YLL046C,2.787194,4.142151e-17,1.931887e-15
YLR002C,1.427562,1.211422e-08,1.019105e-07
YLR003C,2.588323,2.567312e-28,6.785191999999999e-26
YLR009W,1.64438,5.641396e-08,4.113032e-07
YLR021W,1.151272,0.003417682,0.008706167
YLR022C,1.323517,1.054303e-10,1.286047e-09
YLR026C,1.024894,3.678012e-05,0.0001538894
YLR030W,1.788331,0.0008140681,0.002465524
YLR032W,1.264273,4.172116e-09,3.80226e-08
YLR045C,1.571717,1.124588e-14,3.227719e-13
YLR051C,1.04019,0.000146234,0.0005264259
YLR055C,1.053319,0.001494475,0.004216839
YLR061W,1.061973,0.002463545,0.0065629
YLR068W,1.234573,4.684055e-05,0.0001892418
YLR073C,1.075444,0.01035819,0.0231101
YLR074C,2.007245,1.135068e-06,6.451376e-06
YLR086W,1.609999,1.248711e-18,8.609317e-17
YLR095C,1.216532,1.88488e-09,1.808743e-08
YLR103C,1.137191,0.0002522908,0.0008603658
YLR106C,2.191635,4.3428829999999997e-20,3.935273e-18
YLR109W,1.211115,0.0004457396,0.001441043
